,基金代码,基金名称,开始日期,类型
4126,375010,上投优势,2004-09-15,混合式基金
4127,376510,上投大盘,2010-12-20,股票基金
4128,377010,上投α,2005-10-11,混合式基金
4129,377016,上投亚太,2007-10-22,混合式基金
4130,377020,上投内需,2007-04-13,混合式基金
4131,377150,上投品质,2012-02-01,混合式基金
4132,377240,上投摩根新兴动力混合,2011-07-13,混合式基金
4133,377530,上投摩根行业轮动混合,2010-01-28,混合式基金
4134,378006,上投全球,2011-01-30,混合式基金
4135,378010,上投先锋,2006-09-20,混合式基金
4136,378546,上投天然,2012-03-26,混合式基金
4137,379010,上投中小盘,2009-01-21,混合式基金
4138,380001,中银理财14天债券,2012-09-24,货币基金
4139,380003,中银理财60天债券,2012-10-26,货币基金
4140,380005,中银纯债债券,2012-12-12,债券基金
4141,380007,中银理财7天债券,2012-12-24,货币基金
4142,380009,中银添利债券,2013-02-04,债券基金
4143,380010,中银理财30天债券A,2013-01-31,货币基金
4144,392001,中海货币,2010-07-28,货币基金
4145,393001,中海优势,2012-06-20,混合式基金
4146,395001,中海收益,2008-04-10,债券基金
4147,395011,中海增强收益债券,2011-03-23,债券基金
4148,398001,中海成长,2004-09-28,混合式基金
4149,398011,中海分红,2005-06-16,混合式基金
4150,398021,中海能源,2007-03-13,混合式基金
4151,398031,中海蓝筹,2008-12-03,混合式基金
4152,398041,中海量化,2009-06-24,混合式基金
4153,398051,中海环保,2010-12-09,混合式基金
4154,398061,中海消费,2011-11-09,混合式基金
4155,399001,中海上证50,2010-03-25,股票基金
4156,399011,中海医疗保健,2012-03-07,股票基金
4157,400001,东 方 龙,2004-11-25,混合式基金
4158,400003,东方精选混合,2006-01-11,混合式基金
4159,400005,东方金账簿货币,2006-08-02,货币基金
4160,400007,东方策略成长混合,2008-06-03,混合式基金
4161,400009,东方稳健回报,2008-12-10,债券基金
4162,400011,东方核心动力混合,2009-06-24,混合式基金
4163,400013,东方成长收益灵活配置混合,2011-04-14,混合式基金
4164,400015,东方新能源汽车主题混合,2011-12-28,混合式基金
4165,400016,东方强化债,2012-10-09,债券基金
4166,400018,东方启明,2012-12-19,混合式基金
4167,400020,东方安心,2013-07-03,混合式基金
4168,400025,东方新兴,2014-09-03,混合式基金
4169,400027,东方双债添利债券,2014-09-24,债券基金
4170,400030,东方添益债券,2014-12-15,债券基金
4171,400032,东方主题精选,2015-03-23,混合式基金
4172,410001,华富优选,2005-03-02,混合式基金
4173,410003,华富成长趋势混合,2007-03-19,混合式基金
4174,410004,华富收益增强债券,2008-05-28,债券基金
4175,410006,华富策略精选,2008-12-24,混合式基金
4176,410007,华富价值,2009-07-15,混合式基金
4177,410008,华富中证100,2009-12-30,股票基金
4178,410009,华富量子生命力混合,2011-04-01,混合式基金
4179,410010,华富中小板,2011-12-09,股票基金
4180,420001,天弘精选,2005-10-08,混合式基金
4181,420003,天弘永定价值成长混合,2008-12-02,混合式基金
4182,420005,天弘周期策略混合,2009-12-17,混合式基金
4183,420008,天弘债券发起式,2012-08-10,债券基金
4184,420009,天弘安康颐养混合,2012-11-28,混合式基金
4185,450001,国富收益,2005-06-01,混合式基金
4186,450002,国富弹性,2006-06-14,混合式基金
4187,450003,国富潜力组合混合,2007-03-22,混合式基金
4188,450004,国富价值,2008-07-03,混合式基金
4189,450005,国富强化收益债券,2008-10-24,债券基金
4190,450007,国富成长,2009-03-25,混合式基金
4191,450008,国富300,2009-09-03,股票基金
4192,450009,国富中小盘,2010-11-23,股票基金
4193,450010,国富策略,2011-08-02,混合式基金
4194,450011,国富精选,2012-05-22,混合式基金
4195,450018,国富恒久信用债券A/C,2012-09-11,债券基金
4196,457001,国富亚洲,2012-02-22,股票基金
4197,460001,华泰柏瑞盛世中国混合,2005-04-27,混合式基金
4198,460002,华泰成长,2007-05-29,混合式基金
4199,519519,华泰柏瑞稳本增利债券,2006-04-13,债券基金
4200,460005,华泰柏瑞价值增长混合,2008-07-16,混合式基金
4201,460006,华泰柏瑞货币,2009-05-06,货币基金
4202,460007,华泰柏瑞行业领先混合,2009-08-03,混合式基金
4203,460008,华泰柏瑞稳健收益,2012-12-04,债券基金
4204,460009,华泰柏瑞量化先行混合,2010-06-22,混合式基金
4205,460010,华泰柏瑞亚洲领导混合,2010-12-02,混合式基金
4206,460220,中小ETF联接,2011-01-26,联接基金
4207,460300,华泰柏瑞沪深300ETF联接,2012-05-29,联接基金
4208,470006,汇添富医药保健混合,2010-09-21,混合式基金
4209,470007,添富上证,2009-07-01,股票基金
4210,470008,汇添富策略回报混合,2009-12-22,混合式基金
4211,470009,汇添富民营活力混合,2010-05-05,混合式基金
4212,470010,汇添富多元收益债券,2012-09-18,债券基金
4213,470014,汇添富理财14天债券,2012-07-10,货币基金
4214,470028,汇添富社会责任混合,2011-03-29,混合式基金
4215,470030,汇添富理财30天债券,2012-05-09,货币基金
4216,470058,汇添富可转换债券,2011-06-17,债券基金
4217,470068,深证300ETF联接,2011-09-28,联接基金
4218,519078,汇添富增强收益债券,2008-03-06,债券基金
4219,470088,汇添富6月红定期开放债券,2011-12-20,债券基金
4220,470098,汇添富逆向投资混合,2012-03-09,混合式基金
4221,470888,汇添富香港优势精选混合(QDII),2010-06-25,混合式基金
4222,471007,汇添富理财7天债券,2013-05-29,货币基金
4223,471028,汇添富理财28天,2012-10-18,货币基金
4224,481001,工银核心价值混合,2005-08-31,混合式基金
4225,481004,工银稳健成长混合,2006-12-06,混合式基金
4226,481006,工银红利混合,2007-07-18,混合式基金
4227,481008,工银大盘蓝筹混合,2008-08-04,混合式基金
4228,481009,工银沪深300指数,2009-03-05,股票基金
4229,481010,工银中小盘混合,2010-02-10,混合式基金
4230,481012,深红利联接,2010-11-09,联接基金
4231,481013,工银消费服务混合,2011-04-21,混合式基金
4232,481015,工银主题策略混合,2011-10-24,混合式基金
4233,481017,工银量化策略混合,2012-04-26,混合式基金
4234,482002,工银货币,2006-03-20,货币基金
4235,483003,工银平衡,2006-07-13,混合式基金
4236,485105,工银增强收益债券,2007-05-11,债券基金
4237,485107,工银添利债券,2008-04-14,债券基金
4238,485111,工银瑞信双利债券,2010-08-16,债券基金
4239,485114,工银添颐债券,2011-08-10,债券基金
4240,485118,工银瑞信理财债券,2012-08-22,货币基金
4241,485119,工银信用纯债债券,2012-11-14,债券基金
4242,485120,工银14天理财债券发起,2012-10-26,货币基金
4243,485122,工银瑞信60天理财债券,2013-01-28,货币基金
4244,486001,工银全球,2008-02-14,股票基金
4245,486002,工银精选,2010-05-25,股票基金
4246,487021,工银瑞信优质精选,2013-02-07,混合式基金
4247,500001,基金金泰,1998-03-27,closed_fund
4248,500002,基金泰和,1999-04-08,closed_fund
4249,500003,基金安信,1998-06-22,closed_fund
4250,500005,基金汉盛,1999-05-10,closed_fund
4251,500006,基金裕阳,1998-07-25,closed_fund
4252,500007,基金景阳,1999-05-01,closed_fund
4253,500008,基金兴华,1998-04-28,closed_fund
4254,500009,基金安顺,1999-06-15,closed_fund
4255,500010,基金金元,2000-03-28,closed_fund
4256,500011,基金金鑫,1999-10-21,closed_fund
4257,500013,基金安瑞,2000-07-18,closed_fund
4258,500015,基金汉兴,1999-12-30,closed_fund
4259,500016,基金裕元,1999-09-17,closed_fund
4260,500017,基金景业,2000-08-15,closed_fund
4261,500018,基金兴和,1999-07-14,closed_fund
4262,500019,基金普润,2000-08-08,closed_fund
4263,500021,基金金鼎,2000-05-16,closed_fund
4264,500025,基金汉鼎,2000-06-30,closed_fund
4265,500028,基金兴业,2000-08-18,closed_fund
4266,500029,基金科讯,2001-04-20,closed_fund
4267,500035,基金汉博,2000-07-12,closed_fund
4268,500038,基金通乾,2001-08-29,closed_fund
4269,500039,基金同德,2000-10-20,closed_fund
4270,500056,基金科瑞,2002-03-12,closed_fund
4271,500058,基金银丰,2002-08-15,closed_fund
4272,501000,国金鑫新灵活配置(LOF),2015-07-03,混合式基金
4273,501001,财通精选,2015-07-01,混合式基金
4274,501002,长信价值优选混合,2016-01-21,混合式基金
4275,501003,长信优选,2017-04-14,混合式基金
4276,501005,汇添富中证精准医指数(LOF),2016-01-21,股票基金
4277,501007,汇添富中证互联网医疗指数(LOF),2016-12-22,股票基金
4278,501009,汇添富中证生物科技指数(LOF),2016-12-22,股票基金
4279,501011,汇添富中证中药指数(LOF),2016-12-29,股票基金
4280,501015,财通升级,2016-03-09,混合式基金
4281,501016,券商基金,2017-04-27,股票基金
4282,501017,国泰融丰,2016-05-26,混合式基金
4283,501018,南方原油(LOF-QDII),2016-06-15,联接基金
4284,501019,军工基金,2017-03-29,股票基金
4285,501020,国企改,2017-03-29,股票基金
4286,501021,华宝标普香港上市中国中小盘指数(QDII-LOF),2016-06-24,股票基金
4287,501022,银华鑫盛,2016-10-14,混合式基金
4288,501023,港中小企,2016-09-29,股票基金
4289,501025,香港银行,2016-11-10,股票基金
4290,501026,财通福享,2016-09-18,混合式基金
4291,501027,国泰融信,2017-03-02,混合式基金
4292,501028,财通福瑞,2016-11-22,混合式基金
4293,501030,汇添富中证环境治理指数(LOF),2016-12-29,股票基金
4294,501032,福盛定增,2017-01-25,混合式基金
4295,501033,银华惠安,2017-03-17,混合式基金
4296,501035,创金睿选,2017-07-07,混合式基金
4297,501036,汇添富中证500指数(LOF),2017-08-10,股票基金
4298,501038,银华明择,2017-08-11,混合式基金
4299,501039,汇添富睿丰混合,2017-09-29,混合式基金
4300,501041,汇添富弘安混合,2017-09-29,混合式基金
4301,501043,汇添富沪深300指数（LOF）,2017-09-06,股票基金
4302,501046,财通福鑫,2017-10-23,混合式基金
4303,501047,汇添富中证全指证券公司指数(LOF),2017-12-04,股票基金
4304,501049,东证睿玺,2017-11-15,混合式基金
4305,501050,华夏上证50AH优选指数(LOF),2016-10-27,股票基金
4306,501051,圆信汇利,2017-11-30,混合式基金
4307,501053,东证目优,2017-12-18,混合式基金
4308,501054,东证睿泽,2018-01-31,混合式基金
4309,501100,安康,2017-02-17,债券基金
4310,501101,政债一三,2017-08-09,债券基金
4311,501102,政债三五,2017-08-09,债券基金
4312,501103,政债五八,2017-08-16,债券基金
4313,501105,政债八十,2017-08-09,债券基金
4314,501301,华宝港股通恒生中国(香港上市)25指数(LOF),2017-04-20,股票基金
4315,501302,南方恒生ETF联接,2017-07-21,联接基金
4316,501305,汇添富中证港股通高股息投资指数(LOF),2017-11-24,股票基金
4317,505888,嘉实元和,2014-09-29,closed_fund
4318,510010,治理ETF,2009-09-25,股票基金
4319,510020,超大ETF,2009-12-29,股票基金
4320,510030,价值ETF,2010-04-23,股票基金
4321,510050,50ETF,2004-12-30,股票基金
4322,510060,央企ETF,2009-08-26,股票基金
4323,510070,民企ETF,2010-08-05,股票基金
4324,510080,长盛全债指数增强债券,2003-10-25,债券基金
4325,510081,长盛精选,2004-05-21,混合式基金
4326,510090,责任ETF,2010-05-28,股票基金
4327,510110,周期ETF,2010-09-19,股票基金
4328,510120,非周ETF,2011-04-22,股票基金
4329,510130,中盘ETF,2010-03-29,股票基金
4330,510150,消费ETF,2010-12-08,股票基金
4331,510160,小康ETF,2010-08-27,股票基金
4332,510170,商品ETF,2010-11-26,股票基金
4333,510180,180ETF,2006-04-13,股票基金
4334,510190,龙头ETF,2010-11-18,股票基金
4335,510210,综指ETF,2011-01-30,股票基金
4336,510220,中小ETF,2011-01-26,股票基金
4337,510230,金融ETF,2011-03-31,股票基金
4338,510260,新兴ETF,2011-04-07,股票基金
4339,510270,国企ETF,2011-06-16,股票基金
4340,510280,成长ETF,2011-08-04,股票基金
4341,510290,380ETF,2011-09-16,股票基金
4342,510300,300ETF,2012-05-04,股票基金
4343,510310,HS300ETF,2013-03-06,股票基金
4344,510330,华夏300,2012-12-25,股票基金
4345,510360,广发300,2015-08-20,股票基金
4346,510380,国寿300,2018-01-19,股票基金
4347,510390,平安300,2017-12-25,股票基金
4348,510410,资源ETF,2012-04-10,股票基金
4349,510420,180EWETF,2012-06-12,股票基金
4350,510430,50等权,2012-08-23,股票基金
4351,510440,500沪市,2012-08-24,股票基金
4352,510450,180高ETF,2013-07-08,股票基金
4353,510500,500ETF,2013-02-06,股票基金
4354,510510,广发500,2013-04-11,股票基金
4355,510520,诺安500,2014-02-07,股票基金
4356,510560,国寿500,2015-05-29,股票基金
4357,510580,ZZ500ETF,2015-08-27,股票基金
4358,510610,能源行业,2013-03-28,股票基金
4359,510620,材料行业,2013-03-28,股票基金
4360,510630,消费行业,2013-03-28,股票基金
4361,510650,金融行业,2013-03-28,股票基金
4362,510660,医药行业,2013-03-28,股票基金
4363,510680,万家50,2013-10-31,股票基金
4364,510700,百强ETF,2013-04-24,股票基金
4365,510710,上50ETF,2015-05-27,股票基金
4366,510800,上证50,2017-12-22,股票基金
4367,510810,上海国企,2016-07-28,股票基金
4368,510820,上海改革,2017-12-01,股票基金
4369,510880,红利ETF,2006-11-17,股票基金
4370,510900,H股ETF,2012-08-09,股票基金
4371,511010,国债ETF,2013-03-05,债券基金
4372,511210,企债ETF,2013-07-11,债券基金
4373,511220,城投ETF,2014-11-13,债券基金
4374,511230,周期债,2017-01-23,债券基金
4375,511260,十年国债,2017-08-04,债券基金
4376,511310,十年债,2018-03-19,债券基金
4377,511620,货币基金,2017-08-04,货币基金
4378,511650,华夏快线,2016-12-29,货币基金
4379,511680,安信货币,2016-09-09,货币基金
4380,511860,博时货币,2014-11-25,货币基金
4381,511890,景顺货币,2015-07-16,货币基金
4382,512000,券商ETF,2016-08-30,股票基金
4383,512010,医药ETF,2013-09-23,股票基金
4384,512070,非银ETF,2014-06-26,股票基金
4385,512100,1000ETF,2016-09-29,股票基金
4386,512110,中证地产,2013-12-04,股票基金
4387,512120,医药50,2013-12-04,股票基金
4388,512200,房地产,2017-08-25,股票基金
4389,512210,景顺食品,2014-07-18,股票基金
4390,512220,景顺TMT,2014-07-18,股票基金
4391,512230,景顺医药,2014-07-18,股票基金
4392,512300,500医药,2014-10-30,股票基金
4393,512310,500工业,2015-04-08,股票基金
4394,512330,500信息,2015-06-29,股票基金
4395,512340,500原料,2015-04-16,股票基金
4396,512400,有色金属,2017-08-03,股票基金
4397,512500,中证500,2015-05-05,股票基金
4398,512510,ETF500,2015-05-13,股票基金
4399,512550,富时A50,2017-07-03,股票基金
4400,512560,中证军工,2017-07-14,股票基金
4401,512570,中证证券,2017-07-27,股票基金
4402,512580,环保ETF,2017-01-25,股票基金
4403,512600,主要消费,2014-06-13,股票基金
4404,512610,医药卫生,2014-06-13,股票基金
4405,512640,金融地产,2014-06-20,股票基金
4406,512660,军工ETF,2016-07-26,股票基金
4407,512680,军工基金,2016-08-30,股票基金
4408,512700,银行基金,2017-06-28,股票基金
4409,512800,银行ETF,2017-07-18,股票基金
4410,512810,军工行业,2016-08-05,股票基金
4411,512880,证券ETF,2016-07-26,股票基金
4412,512900,证券基金,2017-03-10,股票基金
4413,512980,传媒ETF,2017-12-27,股票基金
4414,512990,MSCIA股,2015-02-12,股票基金
4415,513030,德国30,2014-08-08,股票基金
4416,513050,中概互联,2017-01-04,股票基金
4417,513100,纳指ETF,2013-04-25,股票基金
4418,513500,标普500,2013-12-05,股票基金
4419,513600,恒指ETF,2014-12-23,股票基金
4420,513660,恒生通,2014-12-23,股票基金
4421,518800,黄金基金,2013-07-18,noble_metal_fund
4422,518880,黄金ETF,2013-07-18,noble_metal_fund
4423,519001,银华价值优选混合,2005-09-27,混合式基金
4424,519002,华安安信消费混合,2013-05-23,混合式基金
4425,519003,海富收益,2004-03-12,混合式基金
4426,519005,海富通股票混合,2005-07-29,混合式基金
4427,519007,海富回报,2006-05-25,混合式基金
4428,519008,添富优势,2005-08-25,混合式基金
4429,519011,海富精选,2003-08-22,混合式基金
4430,519013,海富通风格优势混合,2006-10-19,混合式基金
4431,519015,海富通贰号,2007-04-09,混合式基金
4432,519017,大成积极成长混合,2007-01-16,混合式基金
4433,519018,汇添富均衡增长混合,2006-08-07,混合式基金
4434,519019,大成景阳领先混合,2007-12-11,混合式基金
4435,519020,国泰金泰,2012-12-24,混合式基金
4436,519021,国泰金鼎价值,2007-04-11,混合式基金
4437,519025,海富通领先成长混合,2009-04-30,混合式基金
4438,519026,海富通中小盘混合,2010-04-14,混合式基金
4439,519027,上证周期ETF联接,2010-09-28,联接基金
4440,519029,华夏稳增,2006-08-09,混合式基金
4441,519030,海富稳固,2010-11-23,债券基金
4442,519032,非周ETF联接,2011-04-27,联接基金
4443,519033,海富通国策导向混合,2011-11-16,混合式基金
4444,519034,海富低碳,2012-05-25,股票基金
4445,519035,富国天博创新主题混合,2007-04-27,混合式基金
4446,519039,长盛同德主题混合,2007-10-25,混合式基金
4447,519055,海富通双利,2013-12-04,债券基金
4448,519056,海富通内需热点混合,2013-12-19,混合式基金
4449,519062,海富通阿尔法,2014-11-20,混合式基金
4450,519066,添富蓝筹,2008-07-08,混合式基金
4451,519068,汇添富成长焦点混合,2007-03-12,混合式基金
4452,519069,汇添富价值精选混合,2009-01-23,混合式基金
4453,519087,新华分红,2005-09-16,混合式基金
4454,519089,新华成长,2008-07-25,混合式基金
4455,519091,新华资源,2009-07-13,混合式基金
4456,519093,新华企业,2010-02-03,混合式基金
4457,519095,新华轮换,2010-07-21,混合式基金
4458,519097,新华中小市值,2011-01-28,混合式基金
4459,519099,新华灵活,2011-07-13,混合式基金
4460,519100,长盛100,2006-11-22,股票基金
4461,519110,浦银价值A,2008-04-16,混合式基金
4462,519111,浦银安盛优化收益债券,2008-12-30,债券基金
4463,519113,浦银生活,2009-06-04,混合式基金
4464,519115,浦银红利,2009-12-03,混合式基金
4465,519116,浦银沪深300,2010-12-10,股票基金
4466,519117,浦银中证400,2012-05-14,股票基金
4467,519118,浦银安盛幸福回报债券,2012-09-18,债券基金
4468,519120,浦银新兴产业,2013-03-25,混合式基金
4469,519121,浦银安盛6个月定期债券,2013-05-16,债券基金
4470,519123,浦银安盛季季添利债券,2013-06-14,债券基金
4471,519125,浦银安盛消费升级混合,2013-12-05,混合式基金
4472,519126,浦银新经济,2014-05-20,混合式基金
4473,519127,浦银安盛盛世精选混合,2014-06-26,混合式基金
4474,519128,浦银安盛月月盈定期支付债券,2014-12-05,债券基金
4475,519131,海富通季季,2014-08-19,货币基金
4476,519132,海富通东财大数据混合,2016-01-29,混合式基金
4477,519133,海富通改革驱动混合,2016-04-28,混合式基金
4478,519134,海富通富祥混合,2016-07-27,混合式基金
4479,519135,海富通瑞益债券,2016-08-03,债券基金
4480,519136,海富通瑞丰一年定开债券,2016-08-15,债券基金
4481,519137,海富通瑞福一年定开债券,2017-07-28,债券基金
4482,519138,海富通瑞祥一年定开债券,2017-07-28,债券基金
4483,519139,海富通沪港深混合,2016-11-11,混合式基金
4484,519150,新华优选消费,2012-06-13,混合式基金
4485,519152,新华纯债添利债券,2012-12-21,债券基金
4486,519156,新华行业灵活配置混合,2013-06-05,混合式基金
4487,519158,新华趋势,2013-09-11,混合式基金
4488,519160,新华安享惠定期开放债券,2013-11-13,债券基金
4489,519162,新华信用增益债券,2013-12-05,债券基金
4490,519165,新华鑫利灵活,2014-04-23,混合式基金
4491,519167,新华精选,2014-06-18,股票基金
4492,519170,浦银增长动力,2015-03-12,混合式基金
4493,519171,浦银医疗,2015-05-25,混合式基金
4494,519172,浦银安盛睿智精选混合,2016-02-03,混合式基金
4495,519175,浦银崛起,2017-02-07,混合式基金
4496,519180,万家 180,2003-03-15,股票基金
4497,519181,万家和谐,2006-11-30,混合式基金
4498,519183,万家引擎,2008-06-27,混合式基金
4499,519185,万家精选,2009-05-18,混合式基金
4500,519186,万家稳健增利债券,2009-08-12,债券基金
4501,519188,万家信用恒利债券,2012-09-21,债券基金
4502,519190,万家双利,2013-03-06,债券基金
4503,519191,万家新利,2014-01-24,混合式基金
4504,519192,万家市政,2013-11-27,债券基金
4505,519193,万家消费成长,2017-02-23,股票基金
4506,519195,万家品质生活,2015-08-06,混合式基金
4507,519196,万家新兴蓝筹,2016-01-26,混合式基金
4508,519197,万家颐达保本,2016-06-02,混合式基金
4509,519198,万家颐和保本,2016-06-23,混合式基金
4510,519199,万家家享纯债,2016-11-01,债券基金
4511,519206,万家年年恒荣,2016-11-15,债券基金
4512,519208,万家年年恒祥,2016-09-18,债券基金
4513,519210,万家恒景18个月,2016-12-13,债券基金
4514,519212,万家宏观择时,2017-03-30,混合式基金
4515,519220,海富通聚利债券,2016-09-22,债券基金
4516,519225,海富通集利债券,2016-09-29,债券基金
4517,519226,海富通瑞利债券,2017-02-16,债券基金
4518,519227,海富通欣盛定开混合,2017-03-16,混合式基金
4519,519230,海富通富源债券,2017-03-17,债券基金
4520,519300,大成沪深300指数,2006-04-06,股票基金
4521,519320,浦银安盛幸福聚利定期开放债券,2016-05-04,债券基金
4522,519322,浦银安盛盛元纯债债券,2016-07-22,债券基金
4523,519324,浦银安盛盛鑫定开债券,2016-07-07,债券基金
4524,519326,浦银安盛幸福聚益定开债券,2016-11-17,债券基金
4525,519328,浦银安盛盛泰纯债债券,2016-11-11,债券基金
4526,519330,浦银安盛盛跃纯债债券,2017-03-21,债券基金
4527,519332,浦银安盛盛达纯债债券,2016-12-19,债券基金
4528,519334,浦银安盛盛勤纯债债券,2017-04-19,债券基金
4529,519505,海富通货币,2005-01-04,货币基金
4530,519509,浦银安盛货币,2011-03-09,货币基金
4531,519511,万家日日薪,2013-01-15,货币基金
4532,519528,海富通现金管理货币,2013-03-14,货币基金
4533,519566,浦银安盛日日盈货币,2014-03-25,货币基金
4534,519588,交银货币,2006-01-20,货币基金
4535,519601,海富通中国海外混合(QDII),2008-06-27,混合式基金
4536,519602,海富通大中华混合(QDII),2011-01-27,混合式基金
4537,519606,国泰金鑫,2014-09-15,股票基金
4538,519610,银河旺利混合,2016-05-13,混合式基金
4539,519613,银河君尚混合,2016-08-17,混合式基金
4540,519616,银河君信混合,2016-09-07,混合式基金
4541,519619,银河君荣混合,2016-09-05,混合式基金
4542,519622,银河君怡债券,2016-12-27,债券基金
4543,519623,银河君耀混合,2016-11-18,混合式基金
4544,519625,银河君盛混合,2016-12-09,混合式基金
4545,519627,银河君润混合,2016-12-27,混合式基金
4546,519629,银河睿利混合,2016-12-29,混合式基金
4547,519631,银河君欣债券,2017-03-02,债券基金
4548,519632,银河君辉3个月定开发起式,2017-04-20,债券基金
4549,519633,银河君腾混合,2017-03-02,混合式基金
4550,519640,银河鸿利混合,2015-06-19,混合式基金
4551,519642,银河智造混合,2016-03-11,混合式基金
4552,519644,银河智联混合,2015-12-17,混合式基金
4553,519652,银河鑫利混合,2015-04-22,混合式基金
4554,519675,银河泰利纯债债券,2014-08-06,债券基金
4555,519649,银河犇利混合,2017-03-10,混合式基金
4556,519651,银河转型,2015-05-12,混合式基金
4557,519654,银河丰利,2015-04-09,债券基金
4558,519655,银河服务混合,2015-04-22,混合式基金
4559,519656,银河灵活配置混合,2014-02-11,混合式基金
4560,519660,银河增利债券,2013-07-17,债券基金
4561,519662,银河岁岁回报债券,2013-08-09,债券基金
4562,519664,银河美丽混合,2014-05-30,混合式基金
4563,519668,银河成长,2008-05-26,混合式基金
4564,519669,银河领先,2012-11-29,债券基金
4565,519670,银河优选,2009-04-24,混合式基金
4566,519671,300价值,2009-12-28,股票基金
4567,519672,银河精选,2010-07-16,混合式基金
4568,519673,银河康乐股票,2014-11-18,股票基金
4569,519674,银河创新,2010-12-29,混合式基金
4570,519676,银河强化收益,2011-05-31,债券基金
4571,519677,银河定投宝,2014-03-14,股票基金
4572,519678,银河消费,2011-07-29,混合式基金
4573,519679,银河主题,2012-09-21,混合式基金
4574,519680,交银增利债券,2008-03-31,债券基金
4575,519683,交银双利债券,2011-09-26,债券基金
4576,519686,交银治理,2009-09-29,联接基金
4577,519688,交银精选,2005-09-29,混合式基金
4578,519690,交银稳健配置混合,2006-06-24,混合式基金
4579,519692,交银成长混合,2006-10-23,混合式基金
4580,519694,交银蓝筹,2007-08-08,混合式基金
4581,519696,交银环球,2008-08-22,混合式基金
4582,519697,交银优势,2009-01-21,混合式基金
4583,519698,交银先锋,2009-04-10,混合式基金
4584,519700,交银主题,2010-06-30,混合式基金
4585,519702,交银趋势,2010-12-22,混合式基金
4586,519704,交银制造,2011-06-22,混合式基金
4587,519706,深价值联接,2011-09-28,联接基金
4588,519709,交银全球,2012-05-22,混合式基金
4589,519710,交银策略,2012-06-20,混合式基金
4590,519712,交银阿尔法,2012-08-03,混合式基金
4591,519714,交银消费,2012-11-07,股票基金
4592,519716,交银理财21天债券,2012-11-05,货币基金
4593,519718,交银纯债债券发起,2012-12-19,债券基金
4594,519721,交银理财60天债券,2013-03-13,货币基金
4595,519723,交银双轮动,2013-04-18,债券基金
4596,519726,交银保本,2013-04-24,混合式基金
4597,519727,交银成长30,2013-06-05,混合式基金
4598,519729,交银增强收益,2013-12-25,债券基金
4599,519730,交银定期支付月月丰债券,2013-08-13,债券基金
4600,519732,交银双息,2013-09-04,混合式基金
4601,519733,交银强化回报债券,2014-01-28,债券基金
4602,519736,交银新成长,2014-05-09,混合式基金
4603,519738,交银周期回报灵活配置混合,2014-05-21,混合式基金
4604,519743,交银丰润收益债券,2014-12-15,债券基金
4605,519752,交银新回报灵活配置混合,2015-05-15,混合式基金
4606,519753,交银安心收益债券,2015-05-29,债券基金
4607,519755,交银多策略回报灵活配置混合,2015-06-02,混合式基金
4608,519756,交银国企改革,2015-06-10,混合式基金
4609,519758,交银丰硕C,2015-11-09,债券基金
4610,519762,交银裕通纯债债券,2015-12-29,债券基金
4611,519764,交银卓越回报灵活配置混合,2016-02-17,混合式基金
4612,519766,交银荣鑫灵活配置混合,2016-03-25,混合式基金
4613,519767,交银科技创新灵活配置混合,2016-05-05,混合式基金
4614,519768,交银优选回报灵活配置混合,2016-04-22,混合式基金
4615,519770,交银优择回报灵活配置混合,2016-04-22,混合式基金
4616,519772,交银新生活力灵活配置混合,2016-11-11,混合式基金
4617,519773,交银数据产业灵活配置混合,2016-08-16,混合式基金
4618,519774,交银裕兴纯债债券,2016-09-07,债券基金
4619,519776,交银裕盈纯债债券,2016-11-04,债券基金
4620,519778,交银经济新动力混合,2016-10-20,混合式基金
4621,519779,交银沪港深价值精选混合,2016-11-07,混合式基金
4622,519781,交银领先回报灵活配置混合,2016-09-13,混合式基金
4623,519782,交银裕隆纯债债券,2016-11-28,债券基金
4624,519784,交银境尚收益债券,2017-03-03,债券基金
4625,519786,交银裕利纯债债券,2016-11-23,债券基金
4626,519800,华夏保证金货币,2013-02-04,货币基金
4627,519808,嘉实宝,2013-12-11,货币基金
4628,519858,广发现金宝场内货币,2013-12-02,货币基金
4629,519878,国寿安保场内实时申赎货币,2014-10-20,货币基金
4630,519886,安心利,2013-03-27,货币基金
4631,519888,汇添富收益快线货币,2012-12-21,货币基金
4632,519898,大成现金宝货币,2013-03-27,货币基金
4633,519908,华夏兴华混合,2013-04-12,混合式基金
4634,519909,华安安顺混合,2014-05-12,混合式基金
4635,519915,富国消费,2014-12-12,混合式基金
4636,519918,华夏兴和,2014-05-30,混合式基金
4637,519929,长信电子,2016-07-27,混合式基金
4638,519931,长信上证港股通指数,2016-12-15,股票基金
4639,519933,长信利发债,2016-06-28,债券基金
4640,519935,长信创新驱动,2016-09-29,股票基金
4641,519937,长信先锐债券,2016-06-02,债券基金
4642,519939,长信海外收益一年定开债,2016-05-17,债券基金
4643,519941,长信富全纯债一年定开债券,2016-03-09,债券基金
4644,519943,长信富泰一年定开债券,2016-07-21,债券基金
4645,519945,长信富安纯债一年定开债券,2015-11-20,债券基金
4646,519947,长信利保,2015-11-16,债券基金
4647,519949,长信利信,2016-11-10,混合式基金
4648,519951,长信利泰,2016-03-23,混合式基金
4649,519957,长信睿进混合,2015-07-06,混合式基金
4650,519959,长信多利,2015-07-01,混合式基金
4651,519961,长信利广混合,2015-06-12,混合式基金
